1000
[92106429, 0, 6, 12, 14]
[92106486, 4, 14, 20, 19]
[92106487, 0, 5, 0, 2]
[92106488, 9, 6, 15, 16]
[92106489, 8, 3, 5, 19]
[92106490, 9, 14, 0, 7]
[92106491, 4, 15, 13, 12]
[92106492, 11, 5, 2, 11]
[92106493, 14, 10, 13, 8]
[92106494, 16, 15, 8, 8]
[92106495, 16, 15, 20, 17]
[92106496, 15, 6, 13, 8]
[92106497, 13, 15, 18, 14]
[92106498, 20, 19, 14, 14]
[92106499, 5, 18, 3, 16]
[92106500, 17, 10, 7, 5]
[92106501, 3, 13, 0, 9]
[92106502, 18, 7, 17, 9]
[92106503, 4, 14, 8, 14]
[92106504, 8, 9, 18, 3]
[92106505, 11, 4, 15, 16]
[92106506, 11, 14, 15, 14]
[92106507, 15, 10, 3, 10]
[92106508, 14, 17, 2, 13]
[92106509, 15, 13, 9, 1]
[92106510, 8, 16, 6, 9]
[92106511, 18, 11, 19, 3]
[92106512, 7, 18, 9, 9]
[92106513, 17, 12, 0, 7]
[92106514, 6, 17, 3, 0]
[92106515, 11, 6, 20, 17]
[92106516, 6, 20, 6, 18]
[92106517, 17, 4, 4, 15]
[92106518, 10, 17, 8, 9]
[92106519, 20, 7, 3, 20]
[92106520, 10, 7, 3, 16]
[92106521, 1, 10, 19, 2]
[92106522, 10, 12, 3, 7]
[92106523, 19, 4, 16, 4]
[92106524, 4, 3, 3, 11]
[92106525, 1, 6, 12, 6]
[92106526, 1, 13, 14, 16]
[92106527, 7, 4, 7, 18]
[92106528, 6, 19, 10, 8]
[92106529, 8, 10, 13, 8]
[92106530, 4, 13, 2, 17]
[92106531, 7, 19, 5, 15]
[92106532, 1, 20, 1, 12]
[92106533, 10, 17, 16, 12]
[92106534, 3, 13, 17, 11]
[92106535, 6, 1, 20, 11]
[92106536, 10, 4, 3, 18]
[92106537, 1, 16, 2, 8]
[92106538, 5, 14, 2, 14]
[92106539, 17, 1, 4, 18]
[92106540, 3, 6, 0, 8]
[92106541, 19, 4, 13, 1]
[92106542, 13, 0, 0, 7]
[92106543, 6, 1, 12, 7]
[92106544, 9, 9, 0, 11]
[92106545, 5, 1, 4, 10]
[92106546, 11, 5, 7, 10]
[92106547, 2, 14, 18, 13]
[92106548, 20, 19, 1, 17]
[92106549, 15, 12, 2, 13]
[92106550, 9, 6, 16, 17]
[92106551, 8, 15, 0, 5]
[92106552, 5, 12, 20, 20]
[92106553, 3, 16, 5, 16]
[92106554, 5, 7, 3, 5]
[92106555, 20, 9, 0, 10]
[92106556, 19, 7, 2, 19]
[92106557, 10, 0, 6, 9]
[92106558, 6, 2, 1, 8]
[92106559, 1, 0, 5, 3]
[92106560, 8, 1, 19, 9]
[92106561, 15, 18, 16, 8]
[92106562, 8, 4, 0, 3]
[92106563, 18, 14, 11, 8]
[92106564, 17, 0, 15, 11]
[92106565, 15, 16, 4, 18]
[92106566, 20, 14, 15, 13]
[92106567, 10, 6, 18, 1]
[92106568, 11, 12, 20, 11]
[92106569, 10, 11, 19, 12]
[92106570, 17, 17, 19, 16]
[92106571, 5, 8, 9, 15]
[92106572, 20, 14, 17, 11]
[92106573, 1, 15, 15, 17]
[92106574, 20, 18, 11, 9]
[92106575, 3, 2, 7, 4]
[92106576, 11, 13, 8, 12]
[92106577, 7, 10, 0, 4]
[92106578, 19, 3, 7, 5]
[92106579, 6, 2, 10, 6]
[92106580, 11, 11, 17, 3]
[92106581, 18, 10, 4, 10]
[92106582, 2, 15, 5, 3]
[92106583, 8, 18, 15, 5]
[92106584, 3, 18, 5, 5]
[92106585, 19, 20, 15, 19]
[92106586, 3, 14, 0, 0]
[92106587, 0, 3, 17, 12]
[92106588, 14, 0, 0, 9]
[92106589, 14, 7, 0, 1]
[92106590, 12, 6, 15, 12]
[92106591, 0, 4, 3, 1]
[92106592, 5, 3, 8, 5]
[92106593, 2, 11, 12, 8]
[92106594, 1, 5, 6, 1]
[92106595, 4, 12, 16, 2]
[92106596, 16, 0, 7, 9]
[92106597, 15, 17, 15, 17]
[92106598, 17, 5, 3, 9]
[92106599, 17, 16, 20, 0]
[92106600, 9, 3, 0, 15]
[92106601, 3, 12, 3, 8]
[92106602, 8, 14, 8, 9]
[92106603, 3, 14, 13, 19]
[92106604, 3, 0, 11, 8]
[92106605, 5, 14, 1, 12]
[92106606, 14, 15, 8, 20]
[92106607, 8, 1, 17, 15]
[92106608, 3, 2, 7, 11]
[92106609, 19, 12, 1, 4]
[92106610, 11, 16, 9, 11]
[92106611, 7, 18, 15, 16]
[92106612, 7, 3, 17, 17]
[92106613, 1, 2, 15, 10]
[92106614, 20, 17, 0, 4]
[92106615, 0, 8, 2, 11]
[92106616, 17, 15, 4, 5]
[92106617, 8, 7, 17, 2]
[92106618, 2, 5, 9, 2]
[92106619, 13, 0, 19, 4]
[92106620, 7, 5, 18, 16]
[92106621, 0, 11, 16, 6]
[92106622, 2, 16, 1, 15]
[92106623, 14, 3, 13, 4]
[92106624, 8, 10, 0, 20]
[92106625, 13, 6, 6, 14]
[92106626, 12, 4, 13, 12]
[92106627, 18, 10, 20, 14]
[92106628, 15, 3, 15, 17]
[92106629, 0, 14, 5, 8]
[92106630, 12, 7, 1, 20]
[92106631, 0, 10, 2, 4]
[92106632, 17, 4, 5, 20]
[92106633, 2, 13, 18, 0]
[92106634, 11, 14, 16, 8]
[92106635, 5, 20, 2, 12]
[92106636, 10, 16, 14, 2]
[92106637, 2, 10, 3, 11]
[92106638, 17, 5, 3, 15]
[92106639, 3, 0, 7, 20]
[92106640, 13, 11, 6, 16]
[92106641, 19, 7, 19, 4]
[92106642, 13, 2, 6, 12]
[92106643, 8, 15, 12, 4]
[92106644, 7, 4, 20, 6]
[92106645, 18, 9, 1, 4]
[92106646, 18, 8, 5, 15]
[92106647, 14, 2, 0, 6]
[92106648, 8, 15, 11, 16]
[92106649, 0, 16, 15, 13]
[92106650, 6, 14, 17, 18]
[92106651, 13, 5, 15, 15]
[92106652, 15, 7, 6, 12]
[92106653, 10, 13, 0, 2]
[92106654, 12, 13, 0, 8]
[92106655, 9, 11, 5, 3]
[92106656, 3, 18, 20, 17]
[92106657, 0, 5, 18, 12]
[92106658, 3, 5, 1, 8]
[92106659, 8, 20, 4, 1]
[92106660, 5, 15, 1, 0]
[92106661, 14, 15, 14, 4]
[92106662, 5, 1, 19, 11]
[92106663, 20, 7, 16, 4]
[92106664, 6, 8, 17, 17]
[92106665, 12, 9, 14, 15]
[92106666, 10, 20, 2, 4]
[92106667, 10, 2, 6, 8]
[92106668, 18, 15, 4, 7]
[92106669, 12, 5, 13, 16]
[92106670, 11, 20, 7, 11]
[92106671, 6, 19, 15, 16]
[92106672, 11, 6, 10, 4]
[92106673, 2, 14, 19, 13]
[92106674, 18, 15, 6, 15]
[92106675, 9, 19, 16, 14]
[92106676, 11, 4, 1, 8]
[92106677, 1, 8, 1, 9]
[92106678, 9, 14, 14, 15]
[92106679, 7, 6, 3, 8]
[92106680, 16, 18, 16, 1]
[92106681, 7, 13, 15, 19]
[92106682, 10, 3, 4, 1]
[92106683, 7, 1, 12, 12]
[92106684, 0, 15, 20, 13]
[92106685, 6, 9, 17, 10]
[92106686, 16, 19, 1, 15]
[92106687, 2, 3, 0, 4]
[92106688, 2, 12, 6, 7]
[92106689, 10, 19, 7, 14]
[92106690, 2, 9, 8, 17]
[92106691, 13, 15, 18, 7]
[92106692, 1, 7, 16, 18]
[92106693, 1, 20, 19, 20]
[92106694, 3, 18, 13, 3]
[92106695, 12, 11, 15, 20]
[92106696, 13, 3, 14, 18]
[92106697, 1, 7, 6, 15]
[92106698, 14, 9, 11, 15]
[92106699, 2, 10, 19, 13]
[92106700, 15, 8, 4, 4]
[92106701, 6, 18, 20, 5]
[92106702, 7, 10, 13, 10]
[92106703, 8, 3, 13, 8]
[92106704, 6, 1, 10, 14]
[92106705, 12, 17, 16, 18]
[92106706, 1, 16, 19, 8]
[92106707, 6, 7, 16, 14]
[92106708, 3, 15, 3, 17]
[92106709, 19, 10, 5, 7]
[92106710, 17, 12, 8, 19]
[92106711, 9, 6, 0, 12]
[92106712, 6, 15, 17, 13]
[92106713, 20, 10, 7, 10]
[92106714, 16, 1, 15, 17]
[92106715, 19, 17, 9, 17]
[92106716, 12, 20, 15, 11]
[92106717, 2, 16, 2, 12]
[92106718, 5, 14, 20, 19]
[92106719, 20, 19, 12, 4]
[92106720, 7, 1, 11, 17]
[92106721, 9, 10, 5, 10]
[92106722, 7, 14, 14, 8]
[92106723, 20, 5, 10, 1]
[92106724, 16, 16, 3, 14]
[92106725, 9, 17, 15, 10]
[92106726, 9, 15, 2, 19]
[92106727, 14, 2, 15, 13]
[92106728, 18, 17, 19, 10]
[92106729, 1, 10, 0, 15]
[92106730, 19, 16, 7, 4]
[92106731, 12, 20, 0, 17]
[92106732, 4, 0, 13, 20]
[92106733, 8, 13, 16, 17]
[92106734, 3, 6, 10, 17]
[92106735, 0, 20, 18, 11]
[92106736, 3, 5, 11, 0]
[92106737, 8, 20, 9, 11]
[92106738, 1, 1, 11, 4]
[92106739, 3, 13, 20, 17]
[92106740, 4, 5, 14, 11]
[92106741, 7, 3, 3, 13]
[92106742, 11, 4, 19, 19]
[92106743, 2, 9, 11, 19]
[92106744, 5, 11, 16, 16]
[92106745, 14, 6, 19, 9]
[92106746, 20, 20, 12, 5]
[92106747, 20, 15, 0, 4]
[92106748, 17, 16, 15, 6]
[92106749, 11, 11, 10, 15]
[92106750, 12, 9, 17, 12]
[92106751, 15, 2, 16, 17]
[92106752, 8, 10, 3, 20]
[92106753, 1, 8, 3, 0]
[92106754, 2, 6, 5, 6]
[92106755, 6, 11, 7, 16]
[92106756, 4, 19, 0, 15]
[92106757, 14, 12, 16, 8]
[92106758, 3, 12, 19, 14]
[92106759, 18, 17, 18, 16]
[92106760, 2, 16, 1, 1]
[92106761, 20, 7, 12, 2]
[92106762, 12, 7, 20, 18]
[92106763, 12, 9, 8, 15]
[92106764, 6, 5, 10, 12]
[92106765, 5, 12, 20, 13]
[92106766, 10, 19, 11, 18]
[92106767, 1, 0, 12, 8]
[92106768, 11, 18, 14, 5]
[92106769, 12, 17, 10, 10]
[92106770, 2, 7, 9, 10]
[92106771, 8, 8, 14, 4]
[92106772, 9, 12, 0, 9]
[92106773, 12, 8, 1, 7]
[92106774, 12, 2, 5, 7]
[92106775, 4, 5, 0, 6]
[92106776, 19, 10, 3, 5]
[92106777, 13, 0, 5, 5]
[92106778, 8, 0, 2, 6]
[92106779, 16, 13, 12, 5]
[92106780, 20, 2, 3, 1]
[92106781, 1, 13, 7, 15]
[92106782, 7, 5, 8, 9]
[92106783, 19, 16, 10, 17]
[92106784, 17, 0, 13, 10]
[92106785, 6, 7, 7, 16]
[92106786, 10, 16, 12, 20]
[92106787, 17, 19, 16, 17]
[92106788, 14, 12, 10, 20]
[92106789, 0, 11, 9, 13]
[92106790, 18, 11, 13, 17]
[92106791, 7, 9, 13, 0]
[92106792, 12, 19, 14, 15]
[92106793, 9, 19, 20, 15]
[92106794, 8, 0, 2, 5]
[92106795, 18, 7, 3, 19]
[92106796, 0, 0, 20, 0]
[92106797, 2, 4, 16, 2]
[92106798, 3, 7, 11, 8]
[92106799, 1, 2, 13, 10]
[92106800, 20, 8, 5, 8]
[92106801, 11, 5, 6, 8]
[92106802, 13, 13, 2, 8]
[92106803, 8, 10, 14, 0]
[92106804, 15, 7, 20, 18]
[92106805, 7, 6, 4, 11]
[92106806, 1, 10, 3, 17]
[92106807, 12, 8, 11, 15]
[92106808, 17, 10, 2, 13]
[92106809, 15, 7, 11, 2]
[92106810, 1, 20, 12, 5]
[92106811, 8, 3, 11, 14]
[92106812, 0, 6, 2, 10]
[92106813, 14, 2, 17, 19]
[92106814, 13, 3, 13, 15]
[92106815, 7, 16, 11, 18]
[92106816, 8, 2, 1, 1]
[92106817, 15, 3, 10, 14]
[92106818, 5, 18, 14, 5]
[92106819, 3, 19, 11, 13]
[92106820, 12, 5, 18, 7]
[92106821, 11, 3, 14, 10]
[92106822, 16, 14, 11, 9]
[92106823, 7, 14, 5, 14]
[92106824, 17, 7, 16, 7]
[92106825, 4, 18, 3, 6]
[92106826, 8, 20, 9, 9]
[92106827, 18, 6, 2, 10]
[92106828, 12, 8, 13, 19]
[92106829, 5, 16, 15, 1]
[92106830, 11, 13, 19, 12]
[92106831, 5, 5, 1, 4]
[92106832, 17, 7, 20, 17]
[92106833, 1, 1, 2, 14]
[92106834, 0, 17, 15, 9]
[92106835, 4, 7, 10, 3]
[92106836, 11, 16, 16, 14]
[92106837, 7, 2, 20, 15]
[92106838, 17, 4, 18, 6]
[92106839, 12, 20, 6, 7]
[92106840, 11, 6, 4, 3]
[92106841, 8, 3, 3, 6]
[92106842, 18, 14, 9, 13]
[92106843, 6, 20, 16, 12]
[92106844, 19, 15, 2, 4]
[92106845, 18, 13, 20, 14]
[92106846, 5, 1, 11, 15]
[92106847, 10, 1, 11, 4]
[92106848, 9, 20, 13, 8]
[92106849, 2, 13, 20, 9]
[92106850, 4, 11, 1, 18]
[92106851, 14, 12, 5, 18]
[92106852, 18, 14, 20, 0]
[92106853, 12, 13, 0, 0]
[92106854, 20, 5, 13, 7]
[92106855, 6, 8, 16, 11]
[92106856, 6, 8, 4, 2]
[92106857, 16, 6, 1, 19]
[92106858, 4, 4, 18, 8]
[92106859, 4, 15, 19, 19]
[92106860, 10, 5, 19, 11]
[92106861, 6, 16, 0, 5]
[92106862, 12, 11, 2, 17]
[92106863, 6, 16, 8, 5]
[92106864, 10, 1, 15, 10]
[92106865, 17, 19, 1, 13]
[92106866, 13, 5, 12, 6]
[92106867, 11, 1, 4, 17]
[92106868, 10, 7, 7, 0]
[92106869, 17, 10, 18, 6]
[92106870, 10, 8, 17, 10]
[92106871, 5, 5, 6, 10]
[92106872, 16, 11, 1, 10]
[92106873, 0, 0, 9, 20]
[92106874, 4, 16, 5, 3]
[92106875, 12, 10, 13, 11]
[92106876, 10, 14, 17, 12]
[92106877, 11, 3, 11, 20]
[92106878, 13, 20, 0, 10]
[92106879, 4, 6, 9, 1]
[92106880, 16, 20, 4, 13]
[92106881, 3, 1, 2, 5]
[92106882, 5, 4, 20, 10]
[92106883, 7, 0, 19, 18]
[92106884, 12, 9, 19, 0]
[92106885, 18, 14, 14, 8]
[92106886, 7, 19, 2, 17]
[92106887, 17, 3, 9, 15]
[92106888, 10, 3, 18, 11]
[92106889, 12, 4, 20, 20]
[92106890, 14, 5, 14, 20]
[92106891, 5, 17, 8, 12]
[92106892, 1, 13, 20, 19]
[92106893, 2, 15, 14, 19]
[92106894, 8, 14, 12, 2]
[92106895, 16, 18, 20, 2]
[92106896, 11, 13, 13, 17]
[92106897, 0, 13, 0, 10]
[92106898, 8, 17, 19, 8]
[92106899, 15, 0, 10, 9]
[92106900, 20, 16, 3, 20]
[92106901, 2, 1, 5, 3]
[92106902, 19, 0, 2, 12]
[92106903, 2, 15, 18, 18]
[92106904, 16, 2, 16, 5]
[92106905, 9, 4, 11, 12]
[92106906, 10, 10, 2, 13]
[92106907, 3, 9, 4, 2]
[92106908, 3, 2, 20, 20]
[92106909, 6, 9, 17, 11]
[92106910, 18, 3, 11, 8]
[92106911, 13, 11, 18, 2]
[92106912, 10, 0, 19, 16]
[92106913, 13, 20, 9, 9]
[92106914, 18, 15, 20, 13]
[92106915, 3, 7, 15, 0]
[92106916, 0, 15, 1, 12]
[92106917, 16, 10, 10, 18]
[92106918, 16, 3, 15, 17]
[92106919, 18, 9, 0, 10]
[92106920, 7, 8, 2, 5]
[92106921, 5, 6, 6, 4]
[92106922, 5, 2, 10, 18]
[92106923, 2, 11, 14, 0]
[92106924, 10, 7, 10, 16]
[92106925, 5, 4, 14, 11]
[92106926, 14, 14, 7, 18]
[92106927, 19, 7, 2, 7]
[92106928, 7, 11, 20, 9]
[92106929, 11, 15, 9, 2]
[92106930, 0, 9, 3, 17]
[92106931, 8, 0, 11, 12]
[92106932, 1, 20, 19, 9]
[92106933, 18, 12, 4, 7]
[92106934, 11, 14, 15, 6]
[92106935, 4, 14, 20, 0]
[92106936, 9, 8, 19, 2]
[92106937, 19, 9, 16, 2]
[92106938, 6, 18, 9, 19]
[92106939, 2, 8, 18, 18]
[92106940, 14, 13, 18, 20]
[92106941, 0, 19, 5, 20]
[92106942, 17, 2, 18, 9]
[92106943, 19, 16, 12, 4]
[92106944, 7, 19, 18, 17]
[92106945, 0, 11, 5, 7]
[92106946, 1, 10, 19, 13]
[92106947, 12, 9, 7, 2]
[92106948, 11, 4, 4, 17]
[92106949, 20, 10, 19, 0]
[92106950, 13, 5, 12, 14]
[92106951, 10, 13, 15, 4]
[92106952, 5, 13, 10, 1]
[92106953, 1, 9, 13, 11]
[92106954, 20, 3, 12, 1]
[92106955, 17, 7, 7, 13]
[92106956, 17, 15, 12, 18]
[92106957, 18, 11, 1, 6]
[92106958, 16, 20, 3, 19]
[92106959, 4, 6, 11, 7]
[92106960, 10, 14, 16, 2]
[92106961, 20, 7, 12, 17]
[92106962, 18, 16, 5, 10]
[92106963, 14, 4, 0, 1]
[92106964, 9, 1, 20, 8]
[92106965, 6, 3, 16, 18]
[92106966, 17, 11, 14, 8]
[92106967, 7, 2, 18, 12]
[92106968, 2, 10, 17, 9]
[92106969, 7, 15, 1, 1]
[92106970, 0, 19, 17, 9]
[92106971, 5, 10, 14, 13]
[92106972, 9, 3, 6, 5]
[92106973, 1, 7, 4, 4]
[92106974, 17, 9, 17, 3]
[92106975, 19, 1, 6, 12]
[92106976, 1, 19, 19, 2]
[92106977, 16, 15, 7, 15]
[92106978, 10, 18, 18, 7]
[92106979, 18, 18, 11, 11]
[92106980, 18, 20, 14, 0]
[92106981, 4, 0, 8, 19]
[92106982, 1, 12, 6, 18]
[92106983, 3, 20, 15, 14]
[92106984, 16, 17, 14, 5]
[92106985, 17, 4, 16, 14]
[92106986, 3, 18, 10, 17]
[92106987, 14, 3, 16, 5]
[92106988, 20, 3, 18, 6]
[92106989, 2, 18, 1, 18]
[92106990, 0, 10, 20, 1]
[92106991, 10, 12, 2, 6]
[92106992, 8, 13, 15, 9]
[92106993, 8, 1, 0, 14]
[92106994, 18, 11, 20, 19]
[92106995, 4, 18, 16, 3]
[92106996, 15, 12, 14, 10]
[92106997, 5, 10, 10, 10]
[92106998, 1, 1, 7, 17]
[92106999, 3, 20, 9, 19]
[92107000, 19, 8, 14, 12]
[92107001, 3, 12, 13, 15]
[92107002, 9, 5, 12, 7]
[92107003, 4, 8, 4, 12]
[92107004, 17, 0, 20, 5]
[92107005, 7, 15, 12, 4]
[92107006, 0, 9, 10, 19]
[92107007, 1, 3, 9, 3]
[92107008, 9, 13, 7, 18]
[92107009, 12, 0, 20, 4]
[92107010, 20, 3, 8, 12]
[92107011, 12, 12, 19, 3]
[92107012, 18, 19, 20, 14]
[92107013, 7, 15, 17, 16]
[92107014, 4, 14, 0, 2]
[92107015, 14, 13, 2, 11]
[92107016, 12, 18, 9, 13]
[92107017, 14, 7, 12, 0]
[92107018, 2, 2, 1, 16]
[92107019, 15, 15, 20, 17]
[92107020, 16, 8, 5, 13]
[92107021, 18, 15, 10, 20]
[92107022, 13, 16, 4, 15]
[92107023, 2, 19, 15, 10]
[92107024, 2, 19, 1, 14]
[92107025, 14, 8, 12, 15]
[92107026, 16, 12, 16, 16]
[92107027, 17, 19, 17, 9]
[92107028, 3, 8, 5, 2]
[92107029, 8, 19, 17, 1]
[92107030, 1, 15, 3, 18]
[92107031, 3, 13, 8, 5]
[92107032, 19, 13, 8, 17]
[92107033, 20, 7, 20, 4]
[92107034, 6, 10, 2, 19]
[92107035, 18, 4, 5, 1]
[92107036, 20, 6, 14, 4]
[92107037, 5, 5, 17, 0]
[92107038, 8, 18, 7, 6]
[92107039, 4, 14, 16, 20]
[92107040, 16, 6, 6, 3]
[92107041, 5, 15, 9, 2]
[92107042, 17, 10, 4, 13]
[92107043, 0, 4, 12, 4]
[92107044, 7, 20, 11, 5]
[92107045, 11, 1, 19, 15]
[92107046, 6, 15, 10, 6]
[92107047, 2, 17, 13, 12]
[92107048, 14, 18, 0, 9]
[92107049, 1, 8, 14, 9]
[92107050, 11, 2, 7, 15]
[92107051, 19, 7, 9, 8]
[92107052, 9, 15, 15, 5]
[92107053, 12, 13, 11, 8]
[92107054, 7, 1, 20, 16]
[92107055, 18, 2, 1, 6]
[92107056, 1, 11, 12, 6]
[92107057, 18, 4, 7, 16]
[92107058, 8, 13, 11, 14]
[92107059, 5, 10, 5, 13]
[92107060, 1, 9, 14, 20]
[92107061, 1, 5, 2, 15]
[92107062, 12, 8, 7, 17]
[92107063, 14, 4, 8, 12]
[92107064, 5, 4, 11, 7]
[92107065, 15, 0, 0, 1]
[92107066, 11, 16, 20, 4]
[92107067, 6, 12, 15, 16]
[92107068, 9, 2, 20, 3]
[92107069, 15, 16, 7, 9]
[92107070, 1, 9, 12, 8]
[92107071, 12, 18, 11, 10]
[92107072, 6, 19, 9, 9]
[92107073, 17, 2, 20, 14]
[92107074, 2, 11, 18, 7]
[92107075, 11, 13, 1, 0]
[92107076, 13, 12, 8, 3]
[92107077, 8, 5, 3, 16]
[92107078, 2, 19, 12, 15]
[92107079, 14, 9, 2, 19]
[92107080, 0, 10, 7, 0]
[92107081, 15, 18, 3, 3]
[92107082, 10, 9, 16, 15]
[92107083, 15, 6, 4, 15]
[92107084, 19, 19, 19, 5]
[92107085, 9, 9, 12, 8]
[92107086, 15, 12, 5, 0]
[92107087, 20, 13, 0, 2]
[92107088, 17, 2, 7, 0]
[92107089, 10, 3, 15, 4]
[92107090, 17, 3, 18, 17]
[92107091, 4, 20, 18, 17]
[92107092, 0, 3, 2, 6]
[92107093, 5, 10, 9, 13]
[92107094, 17, 5, 0, 8]
[92107095, 19, 19, 1, 15]
[92107096, 1, 14, 1, 2]
[92107097, 14, 3, 8, 17]
[92107098, 0, 14, 18, 15]
[92107099, 6, 7, 19, 1]
[92107100, 3, 5, 10, 1]
[92107101, 10, 10, 6, 11]
[92107102, 10, 12, 19, 10]
[92107103, 5, 9, 14, 0]
[92107104, 17, 14, 13, 17]
[92107105, 6, 2, 18, 11]
[92107106, 10, 10, 2, 5]
[92107107, 4, 11, 12, 2]
[92107108, 6, 1, 14, 12]
[92107109, 12, 17, 6, 14]
[92107110, 20, 6, 19, 9]
[92107111, 8, 11, 6, 20]
[92107112, 9, 4, 20, 19]
[92107113, 19, 13, 5, 3]
[92107114, 6, 18, 10, 2]
[92107115, 16, 2, 0, 8]
[92107116, 3, 10, 8, 19]
[92107117, 15, 1, 9, 7]
[92107118, 6, 4, 19, 9]
[92107119, 2, 9, 7, 13]
[92107120, 2, 16, 20, 2]
[92107121, 12, 7, 2, 8]
[92107122, 0, 0, 16, 17]
[92107123, 14, 9, 6, 0]
[92107124, 8, 18, 13, 12]
[92107125, 8, 16, 17, 19]
[92107126, 10, 20, 15, 13]
[92107127, 12, 9, 4, 17]
[92107128, 11, 20, 4, 5]
[92107129, 9, 20, 10, 3]
[92107130, 18, 14, 9, 2]
[92107131, 12, 18, 10, 13]
[92107132, 13, 13, 2, 14]
[92107133, 18, 7, 5, 5]
[92107134, 18, 7, 11, 12]
[92107135, 2, 9, 0, 19]
[92107136, 13, 8, 15, 0]
[92107137, 5, 18, 18, 11]
[92107138, 4, 12, 7, 8]
[92107139, 18, 15, 13, 0]
[92107140, 18, 6, 13, 1]
[92107141, 10, 4, 4, 20]
[92107142, 12, 6, 13, 18]
[92107143, 1, 4, 2, 2]
[92107144, 17, 0, 5, 0]
[92107145, 1, 10, 18, 20]
[92107146, 11, 14, 15, 4]
[92107147, 6, 9, 12, 10]
[92107148, 4, 7, 13, 4]
[92107149, 7, 11, 18, 4]
[92107150, 5, 3, 11, 8]
[92107151, 4, 7, 9, 3]
[92107152, 2, 17, 0, 15]
[92107153, 2, 18, 20, 7]
[92107154, 11, 9, 2, 12]
[92107155, 20, 0, 1, 3]
[92107156, 4, 0, 20, 4]
[92107157, 15, 9, 17, 11]
[92107158, 13, 19, 17, 16]
[92107159, 20, 18, 9, 8]
[92107160, 17, 0, 12, 3]
[92107161, 19, 10, 7, 7]
[92107162, 17, 11, 12, 1]
[92107163, 1, 10, 16, 0]
[92107164, 13, 3, 15, 19]
[92107165, 7, 13, 20, 4]
[92107166, 12, 11, 0, 13]
[92107167, 9, 9, 18, 16]
[92107168, 12, 13, 19, 1]
[92107169, 0, 18, 16, 2]
[92107170, 9, 12, 7, 5]
[92107171, 14, 3, 6, 5]
[92107172, 0, 8, 12, 11]
[92107173, 0, 4, 13, 15]
[92107174, 7, 6, 8, 6]
[92107175, 10, 13, 11, 0]
[92107176, 18, 9, 16, 13]
[92107177, 2, 3, 4, 3]
[92107178, 9, 12, 20, 0]
[92107179, 15, 18, 5, 7]
[92107180, 19, 17, 13, 5]
[92107181, 16, 5, 9, 6]
[92107182, 7, 9, 5, 20]
[92107183, 20, 19, 8, 9]
[92107184, 0, 6, 19, 13]
[92107185, 6, 20, 20, 15]
[92107186, 5, 12, 18, 3]
[92107187, 10, 5, 20, 7]
[92107188, 16, 16, 10, 0]
[92107189, 15, 9, 1, 19]
[92107190, 0, 7, 0, 18]
[92107191, 10, 14, 9, 4]
[92107192, 8, 9, 20, 2]
[92107193, 16, 11, 20, 13]
[92107194, 13, 0, 2, 3]
[92107195, 12, 9, 7, 15]
[92107196, 1, 4, 0, 12]
[92107197, 4, 16, 17, 4]
[92107198, 15, 3, 20, 18]
[92107199, 4, 15, 6, 1]
[92107200, 6, 2, 13, 13]
[92107201, 1, 10, 9, 1]
[92107202, 10, 15, 8, 4]
[92107203, 20, 2, 11, 19]
[92107204, 17, 8, 14, 10]
